#aktschritt 	 uEuler 	 vEuler 	 uRunge 	 vRunge
# a=0.1	 b=0.1	 u0=0.1	 v0=0.01
0	0.1	0.01	0.1	0.01
1	0.10005	0.05995	0.100146	0.0598251
2	0.100325	0.10965	0.100432	0.109399
3	0.100714	0.159098	0.100805	0.158721
4	0.101164	0.208291	0.101232	0.207785
5	0.101648	0.257225	0.101697	0.25659
6	0.102153	0.305897	0.102187	0.30513
7	0.102672	0.3543	0.102695	0.353402
8	0.103204	0.402433	0.103218	0.401402
9	0.103745	0.45029	0.103753	0.449124
10	0.104296	0.497867	0.104299	0.496566
11	0.104856	0.545159	0.104856	0.543721
12	0.105425	0.592162	0.105422	0.590586
13	0.106003	0.638871	0.105997	0.637156
14	0.106591	0.685282	0.106583	0.683426
15	0.107188	0.731389	0.107178	0.729391
16	0.107796	0.777187	0.107783	0.775045
17	0.108413	0.822672	0.108399	0.820385
18	0.109041	0.867837	0.109025	0.865404
19	0.10968	0.912678	0.109661	0.910097
20	0.11033	0.957188	0.110308	0.954458
21	0.110991	1.00136	0.110967	0.998481
22	0.111663	1.04519	0.111637	1.04216
23	0.112348	1.08868	0.112318	1.08549
24	0.113044	1.13181	0.113012	1.12846
25	0.113754	1.17458	0.113719	1.17108
26	0.114476	1.21698	0.114438	1.21332
27	0.115212	1.259	0.115171	1.25518
28	0.115962	1.30065	0.115917	1.29667
29	0.116726	1.3419	0.116677	1.33776
30	0.117505	1.38276	0.117452	1.37845
31	0.118299	1.42321	0.118241	1.41874
32	0.119108	1.46326	0.119046	1.45861
33	0.119933	1.50288	0.119867	1.49807
34	0.120775	1.54207	0.120704	1.53709
35	0.121634	1.58082	0.121558	1.57567
36	0.122511	1.61913	0.122429	1.6138
37	0.123406	1.65698	0.123318	1.65148
38	0.12432	1.69436	0.124226	1.68868
39	0.125254	1.73126	0.125152	1.72541
40	0.126207	1.76768	0.126099	1.76166
41	0.127182	1.80361	0.127066	1.7974
42	0.128178	1.83902	0.128054	1.83263
43	0.129196	1.87391	0.129063	1.86734
44	0.130237	1.90827	0.130096	1.90152
45	0.131302	1.94209	0.131151	1.93516
46	0.132392	1.97535	0.132231	1.96823
47	0.133508	2.00804	0.133335	2.00074
48	0.13465	2.04014	0.134465	2.03266
49	0.135819	2.07165	0.135622	2.06398
50	0.137017	2.10254	0.136807	2.09469
51	0.138245	2.1328	0.13802	2.12477
52	0.139503	2.16242	0.139263	2.15421
53	0.140793	2.19138	0.140537	2.18299
54	0.142116	2.21966	0.141842	2.21109
55	0.143473	2.24724	0.14318	2.23849
56	0.144866	2.27412	0.144553	2.26519
57	0.146295	2.30025	0.14596	2.29116
58	0.147763	2.32564	0.147404	2.31637
59	0.14927	2.35025	0.148887	2.34082
60	0.150819	2.37406	0.150408	2.36448
61	0.15241	2.39706	0.15197	2.38732
62	0.154046	2.41922	0.153573	2.40933
63	0.155727	2.44052	0.15522	2.43049
64	0.157456	2.46093	0.156912	2.45077
65	0.159234	2.48042	0.15865	2.47014
66	0.161063	2.49897	0.160436	2.48859
67	0.162945	2.51656	0.16227	2.50608
68	0.164881	2.53315	0.164155	2.52259
69	0.166873	2.54872	0.166091	2.53809
70	0.168923	2.56323	0.168081	2.55256
71	0.171033	2.57666	0.170124	2.56597
72	0.173203	2.58898	0.172222	2.57829
73	0.175435	2.60014	0.174375	2.58949
74	0.177731	2.61013	0.176584	2.59954
75	0.18009	2.6189	0.17885	2.60842
76	0.182514	2.62644	0.181171	2.6161
77	0.185002	2.63269	0.183546	2.62254
78	0.187554	2.63764	0.185975	2.62774
79	0.190168	2.64125	0.188455	2.63165
80	0.192843	2.64349	0.190983	2.63427
81	0.195575	2.64433	0.193554	2.63556
82	0.19836	2.64376	0.196163	2.63553
83	0.201191	2.64175	0.198803	2.63414
84	0.204062	2.63828	0.201465	2.63142
85	0.206962	2.63335	0.204139	2.62734
86	0.209878	2.62696	0.20681	2.62193
87	0.212797	2.6191	0.209464	2.61521
88	0.215698	2.6098	0.212082	2.6072
89	0.21856	2.59909	0.214643	2.59796
90	0.221357	2.58701	0.217123	2.58753
91	0.224059	2.57363	0.219493	2.576
92	0.226631	2.55903	0.221723	2.56346
93	0.229033	2.54331	0.223781	2.55002
94	0.231223	2.52661	0.22563	2.53581
95	0.233153	2.50906	0.227234	2.52098
96	0.234773	2.49087	0.228555	2.5057
97	0.236033	2.47222	0.229558	2.49015
98	0.236882	2.45336	0.23021	2.47454
99	0.237274	2.43452	0.230483	2.45908
100	0.237167	2.41599	0.230354	2.44398
101	0.236531	2.39804	0.229811	2.42947
102	0.235347	2.38096	0.228851	2.41574
103	0.233612	2.36502	0.227484	2.40301
104	0.231342	2.35049	0.22573	2.39145
105	0.228569	2.33759	0.223621	2.3812
106	0.225346	2.32653	0.2212	2.37241
107	0.221745	2.31746	0.21852	2.36515
108	0.217848	2.31048	0.215639	2.35948
109	0.213749	2.30566	0.212618	2.35544
110	0.209546	2.30299	0.209522	2.35299
111	0.205334	2.30242	0.206411	2.35212
112	0.201205	2.30389	0.203343	2.35276
113	0.197237	2.30725	0.200367	2.35481
114	0.193497	2.31237	0.197527	2.35818
115	0.190038	2.31908	0.194859	2.36276
116	0.186895	2.32721	0.19239	2.36843
117	0.184092	2.33656	0.190139	2.37505
118	0.181639	2.34697	0.188119	2.38252
119	0.179536	2.35825	0.186336	2.3907
120	0.177775	2.37025	0.18479	2.39947
121	0.176342	2.38279	0.18348	2.40873
122	0.175219	2.39574	0.182397	2.41835
123	0.174386	2.40897	0.181535	2.42824
124	0.173822	2.42234	0.180881	2.4383
125	0.173506	2.43574	0.180426	2.44843
126	0.173416	2.44908	0.180156	2.45856
127	0.173534	2.46226	0.180061	2.46861
128	0.173841	2.47518	0.180129	2.4785
129	0.174321	2.48778	0.180347	2.48817
130	0.17496	2.49998	0.180706	2.49755
131	0.175743	2.51172	0.181195	2.5066
132	0.17666	2.52293	0.181803	2.51524
133	0.177699	2.53356	0.182523	2.52345
134	0.17885	2.54356	0.183345	2.53116
135	0.180106	2.55288	0.184262	2.53835
136	0.181458	2.56147	0.185264	2.54497
137	0.1829	2.5693	0.186345	2.55099
