#aktschritt 	 uEuler 	 vEuler 	 uRunge 	 vRunge
# a=0.01	 b=0.99	 u0=1	 v0=1
0	1	1	1	1
0.1	1.001	0.999	1.001	0.998952
0.2	1.002	0.9979	1.00199	0.997814
0.3	1.00299	0.996711	1.00295	0.996599
0.4	1.00396	0.995443	1.00389	0.995319
0.5	1.0049	0.994109	1.00479	0.993988
0.6	1.00579	0.992722	1.00564	0.992618
0.7	1.00664	0.991296	1.00643	0.991224
0.8	1.00743	0.989846	1.00715	0.989822
0.9	1.00814	0.988386	1.0078	0.988424
1	1.00878	0.986931	1.00837	0.987046
1.1	1.00934	0.985496	1.00885	0.985702
1.2	1.00981	0.984097	1.00924	0.984405
1.3	1.01017	0.982747	1.00954	0.983169
1.4	1.01044	0.981463	1.00974	0.982006
1.5	1.0106	0.980256	1.00984	0.980928
1.6	1.01066	0.979141	1.00983	0.979946
1.7	1.01061	0.978128	1.00973	0.979068
1.8	1.01044	0.977229	1.00953	0.978305
1.9	1.01017	0.976454	1.00923	0.977662
2	1.0098	0.975812	1.00885	0.977146
2.1	1.00932	0.975309	1.00837	0.976761
2.2	1.00875	0.974951	1.00781	0.976511
2.3	1.00808	0.974743	1.00717	0.976397
2.4	1.00733	0.974686	1.00647	0.97642
2.5	1.0065	0.974784	1.0057	0.976578
2.6	1.0056	0.975034	1.00488	0.976869
2.7	1.00464	0.975436	1.00401	0.977291
2.8	1.00362	0.975985	1.00311	0.977837
2.9	1.00257	0.976678	1.00218	0.978502
3	1.00148	0.977508	1.00123	0.979279
3.1	1.00038	0.978467	1.00028	0.98016
3.2	0.999258	0.979547	0.999322	0.981136
3.3	0.998141	0.980737	0.998377	0.982196
3.4	0.997037	0.982028	0.997451	0.98333
3.5	0.995955	0.983406	0.996554	0.984527
3.6	0.994906	0.98486	0.995694	0.985775
3.7	0.9939	0.986375	0.994879	0.987062
3.8	0.992948	0.987937	0.994116	0.988375
3.9	0.992058	0.989532	0.993414	0.989702
4	0.99124	0.991144	0.992777	0.991029
4.1	0.990502	0.992758	0.992213	0.992345
4.2	0.989851	0.994359	0.991726	0.993635
4.3	0.989293	0.995932	0.991321	0.994888
4.4	0.988836	0.99746	0.991002	0.996092
4.5	0.988484	0.998928	0.990771	0.997235
4.6	0.98824	1.00032	0.990631	0.998306
4.7	0.98811	1.00163	0.990583	0.999294
4.8	0.988094	1.00283	0.990627	1.00019
4.9	0.988194	1.00392	0.990763	1.00099
5	0.988411	1.00489	0.99099	1.00167
5.1	0.988743	1.00572	0.991305	1.00224
5.2	0.989189	1.0064	0.991705	1.00269
5.3	0.989745	1.00692	0.992188	1.00302
5.4	0.990408	1.00728	0.992747	1.00321
5.5	0.991173	1.00748	0.993379	1.00327
5.6	0.992032	1.0075	0.994076	1.0032
5.7	0.99298	1.00735	0.994832	1.003
5.8	0.994008	1.00702	0.995639	1.00267
5.9	0.995106	1.00652	0.996491	1.00222
6	0.996265	1.00586	0.997377	1.00164
6.1	0.997474	1.00502	0.99829	1.00094
6.2	0.998722	1.00402	0.99922	1.00013
6.3	0.999995	1.00288	1.00016	0.999228
6.4	1.00128	1.00159	1.00109	0.998229
6.5	1.00257	1.00018	1.00202	0.997149
6.6	1.00385	0.998643	1.00292	0.995997
6.7	1.0051	0.997009	1.0038	0.994787
6.8	1.00631	0.99529	1.00463	0.993531
6.9	1.00746	0.993501	1.00542	0.992241
7	1.00856	0.991663	1.00615	0.990931
7.1	1.00957	0.989793	1.00682	0.989614
7.2	1.0105	0.98791	1.00741	0.988305
7.3	1.01132	0.986034	1.00793	0.987016
7.4	1.01204	0.984185	1.00837	0.985761
7.5	1.01264	0.982383	1.00873	0.984552
7.6	1.01311	0.980646	1.00899	0.983403
7.7	1.01345	0.978993	1.00916	0.982324
7.8	1.01366	0.977442	1.00924	0.981326
7.9	1.01372	0.97601	1.00922	0.980419
8	1.01365	0.974711	1.00911	0.979612
8.1	1.01344	0.973561	1.00891	0.978913
8.2	1.01308	0.972571	1.00862	0.978328
8.3	1.01259	0.971753	1.00824	0.977862
8.4	1.01197	0.971115	1.00778	0.977521
8.5	1.01122	0.970665	1.00724	0.977306
8.6	1.01036	0.970407	1.00663	0.977219
8.7	1.00939	0.970345	1.00596	0.97726
8.8	1.00831	0.970481	1.00523	0.977428
8.9	1.00715	0.970813	1.00446	0.977722
9	1.00591	0.971339	1.00364	0.978136
9.1	1.0046	0.972054	1.00278	0.978667
9.2	1.00324	0.972952	1.00191	0.979309
9.3	1.00185	0.974025	1.00102	0.980055
9.4	1.00042	0.975262	1.00012	0.980897
9.5	0.998991	0.976653	0.99922	0.981827
9.6	0.99756	0.978185	0.998334	0.982835
9.7	0.996145	0.979843	0.997469	0.983911
9.8	0.994761	0.981613	0.996631	0.985044
9.9	0.993421	0.983477	0.995828	0.986224
10	0.992137	0.985419	0.99507	0.987438
10.1	0.990921	0.987421	0.994362	0.988675
10.2	0.989786	0.989464	0.993711	0.989922
10.3	0.988743	0.991528	0.993124	0.991169
10.4	0.987802	0.993595	0.992605	0.992401
10.5	0.986972	0.995645	0.99216	0.993609
10.6	0.986262	0.997658	0.991792	0.99478
10.7	0.985679	0.999614	0.991506	0.995902
10.8	0.98523	1.0015	0.991303	0.996965
10.9	0.98492	1.00328	0.991185	0.997959
11	0.984754	1.00496	0.991155	0.998873
11.1	0.984733	1.0065	0.991211	0.9997
11.2	0.98486	1.0079	0.991353	1.00043
11.3	0.985135	1.00914	0.99158	1.00106
11.4	0.985558	1.0102	0.99189	1.00157
11.5	0.986126	1.01108	0.99228	1.00198
11.6	0.986835	1.01176	0.992746	1.00226
11.7	0.987681	1.01223	0.993283	1.00242
11.8	0.988658	1.01248	0.993887	1.00246
11.9	0.989757	1.01252	0.994552	1.00237
12	0.990969	1.01233	0.995271	1.00216
12.1	0.992285	1.01192	0.996037	1.00183
12.2	0.993693	1.01128	0.996843	1.00138
12.3	0.995181	1.01043	0.99768	1.00082
12.4	0.996734	1.00935	0.99854	1.00015
12.5	0.998337	1.00808	0.999415	0.999377
12.6	0.999976	1.0066	1.0003	0.99851
12.7	1.00163	1.00495	1.00117	0.99756
12.8	1.00329	1.00313	1.00204	0.996534
12.9	1.00494	1.00115	1.00288	0.995443
13	1.00655	0.999044	1.0037	0.994299
13.1	1.00812	0.996826	1.00447	0.993114
13.2	1.00961	0.994519	1.0052	0.9919
13.3	1.01102	0.992146	1.00588	0.990669
13.4	1.01233	0.989732	1.0065	0.989433
13.5	1.01353	0.987303	1.00704	0.988207
13.6	1.0146	0.984883	1.00752	0.987002
13.7	1.01552	0.982498	1.00792	0.98583
13.8	1.01629	0.980174	1.00824	0.984704
13.9	1.0169	0.977937	1.00847	0.983635
14	1.01734	0.975809	1.00862	0.982634
14.1	1.0176	0.973815	1.00867	0.98171
14.2	1.01768	0.971976	1.00864	0.980874
14.3	1.01758	0.970311	1.00853	0.980132
14.4	1.01729	0.968839	1.00832	0.979492
14.5	1.01682	0.967576	1.00804	0.97896
14.6	1.01618	0.966536	1.00767	0.978542
14.7	1.01537	0.965729	1.00723	0.97824
14.8	1.0144	0.965164	1.00671	0.978057
14.9	1.01327	0.964848	1.00613	0.977994
15	1.01201	0.964785	1.00549	0.978052
15.1	1.01062	0.964975	1.0048	0.978228
15.2	1.00912	0.965417	1.00406	0.978522
15.3	1.00751	0.966107	1.00329	0.978929
15.4	1.00583	0.967039	1.00248	0.979445
15.5	1.00408	0.968205	1.00166	0.980064
15.6	1.00229	0.969592	1.00082	0.980779
15.7	1.00046	0.971189	0.999974	0.981584
15.8	0.998623	0.972981	0.999133	0.98247
15.9	0.996791	0.97495	0.998303	0.983428
16	0.994982	0.97708	0.997493	0.984448
16.1	0.993214	0.97935	0.996711	0.98552
16.2	0.991503	0.98174	0.995963	0.986635
16.3	0.989865	0.984227	0.995258	0.98778
16.4	0.988316	0.98679	0.994601	0.988944
16.5	0.986871	0.989403	0.993998	0.990117
